generation,N_shifts,logPrior,logLik,eventRate,acceptRate
4470000,52,-137.914,-10788.4,62.8871,0.4459
4480000,54,-148.678,-10763.9,60.5277,0.4391
4490000,54,-153.14,-10805.6,45.7459,0.4422
4500000,50,-150.685,-10810.7,46.2471,0.4404
4510000,47,-128.757,-10852.1,44.5928,0.4448
4520000,48,-133.917,-10839.3,57.0607,0.4472
4530000,50,-136.427,-10807.9,52.1697,0.4491
4540000,38,-112.749,-10831.8,33.9113,0.4427
4550000,43,-125.387,-10776.8,48.062,0.4341
4560000,50,-137.926,-10795.9,64.567,0.4544
4570000,42,-113.314,-10704.8,32.9059,0.4467
4580000,37,-108.795,-10809.6,37.5191,0.4479
4590000,44,-121.352,-10804.2,46.9695,0.4419
4600000,59,-160.112,-10786.6,60.7672,0.4405
4610000,51,-144.481,-10745.8,36.5647,0.4475
4620000,56,-147.488,-10756.3,51.7221,0.4511
4630000,48,-117.837,-10779.2,54.7971,0.438
4640000,37,-103.635,-10804.6,33.6669,0.4321
4650000,43,-123.913,-10791,39.4525,0.43
4660000,60,-152.522,-10806.5,55.2843,0.4495
4670000,50,-139.945,-10937.5,47.9644,0.4409
4680000,42,-121.995,-10913.1,31.7257,0.452
4690000,41,-109.309,-10865.8,36.7521,0.4448
4700000,43,-126.177,-10877.6,44.4885,0.4442
4710000,34,-99.3906,-10851.4,35.5323,0.445
4720000,44,-120.582,-10854,37.2337,0.4542
4730000,40,-116.321,-10812.8,41.9255,0.4461
4740000,44,-117.487,-10785.6,43.063,0.439
4750000,30,-90.1937,-10774.2,25.3964,0.4324
4760000,45,-117.98,-10780.6,53.1879,0.441
4770000,34,-100.1,-10758.9,33.1596,0.4398
4780000,41,-118.198,-10806.7,33.1235,0.4378
4790000,47,-131.78,-10894.2,52.1153,0.4371
4800000,48,-133.861,-10883.2,57.3004,0.4482
4810000,40,-109.931,-10854.6,31.0901,0.4501
4820000,41,-110.114,-10837.9,40.3006,0.4465
4830000,36,-115.431,-10820.7,30.6219,0.4496
4840000,42,-121.584,-10869.5,35.9091,0.4373
4850000,41,-129.328,-10868,34.7658,0.4471
4860000,54,-153.676,-10826.8,57.0245,0.4516
4870000,59,-157.323,-10816.4,59.8645,0.4466
4880000,63,-170.475,-10821.6,61.4507,0.4388
4890000,56,-158.443,-10850,56.6803,0.4502
4900000,59,-159.228,-10872.9,56.8337,0.4501
4910000,68,-171.205,-10788.9,65.0432,0.4466
4920000,74,-196.848,-10797.3,76.4719,0.4421
4930000,72,-180.229,-10794.6,58.995,0.4479
4940000,60,-155.412,-10821.8,52.1047,0.4458
4950000,57,-155.692,-10846.7,66.6265,0.4395
4960000,46,-130.041,-10779.7,43.9903,0.4403
4970000,57,-149.084,-10721.1,55.8419,0.4422
4980000,60,-153.157,-10764.1,58.847,0.4424
4990000,53,-146.174,-10786.4,45.204,0.4424
5000000,48,-138.402,-10795.9,47.6031,0.4395
5010000,57,-143.25,-10812.2,60.5653,0.4344
5020000,41,-115.795,-10804.6,49.9079,0.4414
5030000,53,-149.861,-10763.8,50.678,0.4391
5040000,40,-111.409,-10728.8,28.9869,0.4443
5050000,53,-140.07,-10722.3,49.1505,0.4424
5060000,38,-109.396,-10730.1,32.3606,0.4441
5070000,39,-102.394,-10810.6,42.6759,0.4335
5080000,38,-108.138,-10801,31.0775,0.4436
5090000,29,-88.62,-10791.7,27.0885,0.4388
5100000,40,-113.162,-10753.2,42.7373,0.4385
5110000,41,-113.643,-10790.6,49.8178,0.4356
5120000,43,-120.363,-10765.8,32.473,0.4342
